データタイトル,ライセンス,タグ,形式,データ時点,担当局室,所管課,URL
市役所・区役所,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution01_20141128.csv
消防署・警察署,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution02_20141128.csv
交通関連施設,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution03_20141128.csv
保育所,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution04_20141128.csv
幼稚園,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution05_20141128.csv
児童館・学童保育施設,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution06_20141128.csv
小・中学校,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution07_20141128.csv
高校・大学・特別支援学校,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution08_20141128.csv
障害のある人のための施設,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution09_20141128.csv
高齢者のための施設,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution10_20141128.csv
地域福祉センター,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution11_20141128.csv
区民センター・勤労会館・公民館など,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution12_20141128.csv
公園,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution13_20141128.csv
駐車場・駐輪場,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution14_20141128.csv
スポーツ・レジャー・文化施設,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution15_20141128.csv
その他の神戸市の施設,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution16_20141128.csv
その他の官公庁,,施設,csv,,市長室,広報課,http://www.city.kobe.lg.jp/information/opendata/img/institution17_20141128.csv
屋内の緊急避難場所,著作物ではありません,防災,csv,2015-06-01,危機管理室,,http://www.city.kobe.lg.jp/safety/prevention/evacuation/okunaihinanjyo.csv
屋外の緊急避難場所,著作物ではありません,防災,csv,2015-06-01,危機管理室,,http://www.city.kobe.lg.jp/safety/prevention/okugaihinanjyo.csv
まちかど救急ステーション（AED設置）登録施設一覧,,防災,xml,2015-07-02,消防局,救急課,http://www.city.kobe.lg.jp/safety/fire/ambulance/aedmap/aed--_kobe.xml
応急給水拠点一覧,,防災,csv,,水道局,業務課,http://www.city.kobe.lg.jp/information/opendata/img/emergency_water_kobe_20141128.csv
応急給水拠点一覧,,防災,ｒｄｆ,,水道局,業務課,http://www.city.kobe.lg.jp/information/opendata/img/emergency_water_kobe_ttl.txt
観光施設情報,,観光,csv,2015-07-31,産業振興局,観光コンベンション課,http://www.city.kobe.lg.jp/information/project/industry/img/tourism_od2707.csv
夜景スポット一覧,,観光,csv,,,,http://www.city.kobe.lg.jp/information/opendata/img/yakei_kobe_20141128.csv
夜景スポット一覧,,観光,rdf,,,,http://www.city.kobe.lg.jp/information/opendata/img/yakei_kobe_ttl.txt
ロケ地情報一覧（作品別）,,観光,csv,,,観光コンベンション協会,http://www.city.kobe.lg.jp/information/opendata/img/filming_list_kobe.csv
ロケ地情報一覧（作品別）,,観光,rdf,,,観光コンベンション協会,http://www.city.kobe.lg.jp/information/opendata/img/filming_list_kobe_ttl.txt
ロケ地情報一覧（エリア別）,,観光,csv,,,観光コンベンション協会,http://www.city.kobe.lg.jp/information/opendata/img/filming_location_kobe.csv
ロケ地情報一覧（エリア別）,,観光,rdf,,,観光コンベンション協会,http://www.city.kobe.lg.jp/information/opendata/img/filming_location_kobe_ttl.txt
野外彫刻作品一覧,,文化,csv,,市民参画推進局,文化交流部,http://www.city.kobe.lg.jp/information/opendata/img/sculpture_kobecity_20141128.csv
野外彫刻作品一覧,,文化,rdf,,市民参画推進局,文化交流部,http://www.city.kobe.lg.jp/information/opendata/img/sculpture_kobe_ttl.txt
こうべ・だれでもトイレ設置施設一覧,,観光,csv,,住宅都市局,まちのデザイン課,http://www.city.kobe.lg.jp/information/opendata/img/utoilet_kobe_20141128.csv
こうべ・だれでもトイレ設置施設一覧,,観光,rdf,,住宅都市局,まちのデザイン課,http://www.city.kobe.lg.jp/information/opendata/img/utoilet_kobe_ttl.txt
子育て関連行政サービス情報一覧,,子育て,csv,,子ども家庭局,総務課,http://www.city.kobe.lg.jp/information/opendata/img/mamahure_seido_20150221.csv
子育て関連行政サービス情報一覧,,子育て,rdf,,子ども家庭局,総務課,http://www.city.kobe.lg.jp/information/opendata/img/mamahure_seido_20150221.ttl
ごみ品目別収集区分一覧,,くらし,csv,2015-08-31,環境局,業務課,http://www.city.kobe.lg.jp/life/recycle/waketon/gomikubunn.csv
ごみの排出区分、排出曜日、住所地,,くらし,csv,2015-08-31,環境局,業務課,http://www.city.kobe.lg.jp/life/recycle/waketon/gomihaisutu.csv
