データタイトル,ライセンス,タグ,形式,データ時点,担当局室,所管課,URL
震災写真オープンデータサイト「阪神・淡路大震災の『1.17の記録』」（外部リンク）,,防災,,,市長室,広報課,http://kobe117shinsai.jp/
屋内の緊急避難場所,著作物ではありません,防災,csv,2015-06-01,危機管理室,,http://www.city.kobe.lg.jp/safety/prevention/evacuation/
屋外の緊急避難場所,著作物ではありません,防災,csv,2015-06-01,危機管理室,,http://www.city.kobe.lg.jp/safety/prevention/evacuation/
まちかど救急ステーション（AED設置）登録施設一覧,,防災,xml,2015-07-02,消防局,救急課,http://www.city.kobe.lg.jp/safety/fire/ambulance/matiqp.html
応急給水拠点一覧,,防災,csv,,水道局,業務課,http://www.city.kobe.lg.jp/safety/prevention/water/10.html
応急給水拠点一覧,,防災,ｒｄｆ,,水道局,業務課,http://www.city.kobe.lg.jp/safety/prevention/water/10.html
観光施設情報,,観光,csv,2015-07-31,産業振興局,観光コンベンション課,http://www.city.kobe.lg.jp/information/project/industry/tourism_opendata.html
ロケ地情報一覧（作品別）,,観光,csv,,,観光コンベンション協会,http://feel-kobe.jp/location/
ロケ地情報一覧（作品別）,,観光,rdf,,,観光コンベンション協会,http://feel-kobe.jp/location/
ロケ地情報一覧（エリア別）,,観光,csv,,,観光コンベンション協会,http://feel-kobe.jp/location/
ロケ地情報一覧（エリア別）,,観光,rdf,,,観光コンベンション協会,http://feel-kobe.jp/location/
野外彫刻作品一覧,,文化,csv,,市民参画推進局,文化交流部,http://www.city.kobe.lg.jp/culture/leisure/sculpture/
野外彫刻作品一覧,,文化,rdf,,市民参画推進局,文化交流部,http://www.city.kobe.lg.jp/culture/leisure/sculpture/
こうべ・だれでもトイレ設置施設一覧,,観光,xlsx,2015-08-12,住宅都市局,まちのデザイン課,http://www.city.kobe.lg.jp/information/project/universal/toshidukuri/toilet/itiran/index.html
子育て関連行政サービス情報一覧,,子育て,csv,,子ども家庭局,総務課,http://kobe-city.mamafre.jp/
子育て関連行政サービス情報一覧,,子育て,rdf,,子ども家庭局,総務課,http://kobe-city.mamafre.jp/
ごみ品目別収集区分一覧,,くらし,csv,2015-08-31,環境局,業務課,http://www.city.kobe.lg.jp/life/recycle/waketon/opendeta.html
ごみの排出区分、排出曜日、住所地,,くらし,csv,2015-08-31,環境局,業務課,http://www.city.kobe.lg.jp/life/recycle/waketon/opendeta.html
神戸市営地下鉄の時刻表と各駅の所在地,,くらし,csv,2015-09-03,交通局,地下鉄運輸サービス課,http://www.city.kobe.lg.jp/life/access/transport/subway/opendeta.html
広報紙KOBE,,市政,html,毎月１回更新,市長室,広報課,http://www.city.kobe.lg.jp/information/public/kouhoushi/
広報紙KOBE,,市政,pdf,毎月１回更新,市長室,広報課,http://www.city.kobe.lg.jp/information/public/kouhoushi/
毎月推計統計,,統計,,,企画調整局,総合計画課,http://www.city.kobe.lg.jp/information/data/statistics/toukei/jinkou/suikeijinkou.html
住民基本台帳（日本人・外国人）町丁目別・年齢別人口,,統計,,,企画調整局,総合計画課,http://www.city.kobe.lg.jp/information/data/statistics/toukei/jinkou/juukijinkou.html
人口の動き,,統計,,,企画調整局,総合計画課,http://www.city.kobe.lg.jp/information/data/statistics/toukei/jinkou/jinkouugoki.html
神戸市民経済計算,,統計,,,企画調整局,総合計画課,http://www.city.kobe.lg.jp/information/data/statistics/toukei/keizai/index.html
神戸市産業関連表,,統計,,,企画調整局,総合計画課,http://www.city.kobe.lg.jp/information/data/statistics/toukei/sanren/index.html
