施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
670,東灘小学校,658-0013,東灘区深江北町2-4-1,,078‐411‐0556,078-411-0557,34.724772,135.294408,東灘区,小学校
671,本庄小学校,658-0027,東灘区青木4-4-1,,078‐411‐0339,,34.720778,135.288617,東灘区,小学校
672,本山南小学校,658-0015,東灘区本山南町8-2-1,,078‐452‐0071,078-452-0072,34.723603,135.282448,東灘区,小学校
673,福池小学校,658-0015,東灘区本山南町4-4-28,,078‐452‐5595,078-452-5596,34.721253,135.278804,東灘区,小学校
674,魚崎小学校,658-0083,東灘区魚崎中町4-10-8,,078‐411‐6196,078-411-6197,34.71507,135.271405,東灘区,小学校
675,本山第一小学校,658-0003,東灘区本山北町3-10-1,,078‐411‐1974,078-411-1975,34.728324,135.278631,東灘区,小学校
676,本山第二小学校,658-0073,東灘区西岡本1-3-1,,078‐431‐1441,078-431-1442,34.725252,135.269482,東灘区,小学校
677,本山第三小学校,658-0016,東灘区本山中町1-2-35,,078‐411‐0005,078-411-0006,34.728041,135.2863,東灘区,小学校
678,住吉小学校,658-0052,東灘区住吉東町4-1-31,,078‐851‐2887,078-851-2888,34.717614,135.264641,東灘区,小学校
679,御影小学校,658-0045,東灘区御影石町3-1-1,,078‐851‐3673,078-851-3674,34.714767,135.251406,東灘区,小学校
680,渦が森小学校,658-0066,東灘区渦森台1-12-1,,078‐851‐3185,078-851-7796,34.738836,135.250661,東灘区,小学校
681,御影北小学校,658-0065,東灘区御影山手1-12-1,,078‐851‐6809,078-851-8742,34.724619,135.248787,東灘区,小学校
682,六甲アイランド小学校,658-0032,東灘区向洋町中2-7,,078‐857‐3121,078-857-3122,34.688736,135.274605,東灘区,小学校
683,向洋小学校,658-0032,東灘区向洋町中6,,078-857-2450,078-857-2451,34.68771,135.26468,東灘区,小学校
684,成徳小学校,657-0037,灘区備後町1-3-1,,078‐821‐1001,,34.715539,135.242121,灘区,小学校
685,高羽小学校,657-0023,灘区高羽町3-11-11,,078‐841‐0541,078-841-0542,34.723208,135.238824,灘区,小学校
686,鶴甲小学校,657-0011,灘区鶴甲2-10-1,,078‐821‐0444,078-821-5926,34.733573,135.236404,灘区,小学校
687,西郷小学校,657-0043,灘区大石東町6-2-1,,078‐861‐2888,078-881-5565,34.706948,135.232794,灘区,小学校
688,六甲小学校,657-0051,灘区八幡町4-4-1,,078‐881‐1071,078-881-1072,34.71769,135.233108,灘区,小学校
689,灘小学校,657-0056,灘区千旦通1-5-1,,078‐871‐0481,,34.713256,135.232549,灘区,小学校
690,西灘小学校,657-0842,灘区船寺通3-4-1,,078‐861‐8851,078-861-8852,34.707718,135.227705,灘区,小学校
691,稗田小学校,657-0832,灘区岸地通4-2-1,,078‐871‐0721,078-871-0722,34.711354,135.222408,灘区,小学校
692,美野丘小学校,657-0812,灘区箕岡通1-3-17,,078‐871‐1381,078-871-1382,34.723105,135.221169,灘区,小学校
693,摩耶小学校,657-0822,灘区畑原通4-1-1,,078‐861‐3172,078-861-3173,34.715684,135.220544,灘区,小学校
694,福住小学校,657-0824,灘区福住通7-1-1,,078‐861‐2424,,34.713181,135.218489,灘区,小学校
695,六甲山小学校,657-0101,灘区六甲山町北六甲4512-42,,078-891-0328,078-891-0351,34.757374,135.232301,灘区,小学校
696,上筒井小学校,651-0054,中央区野崎通1-1-2,,078‐241‐1080,078-241-1081,34.71062,135.211345,中央区,小学校
697,なぎさ小学校,651-0073,中央区脇浜海岸通2-4-1,,078‐252‐5611,078-252-5612,34.697744,135.211015,中央区,小学校
