区,町,番地,燃えるゴミ,燃えないゴミボンベ・スプレー,,容器包装プラスチック,,缶・びん・ペットボトル,,備考,
,,丁番地,毎週,第何週,曜日,第何週,曜日,第何週,曜日,更新日など,
東灘区,魚崎南町,1丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,魚崎南町,2丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,魚崎南町,3丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎南町,4丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎南町,5丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎南町,6丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,魚崎南町,7丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎南町,8丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎北町,1丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎北町,2丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎北町,3丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎北町,4丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎北町,5丁目,月木,13,火,毎週,金,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,魚崎北町,6丁目,月木,13,火,毎週,金,毎週,水,,あ
東灘区,魚崎北町,7丁目,月木,13,火,毎週,金,毎週,水,,あ
東灘区,魚崎北町,8丁目,月木,13,火,毎週,金,毎週,水,,あ
東灘区,魚崎中町,1丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,魚崎中町,2丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎中町,3丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎中町,4丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,魚崎西町,1丁目,月木,24,火,毎週,金,毎週,水,,あ
東灘区,魚崎西町,2丁目,月木,24,火,毎週,金,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,魚崎西町,3丁目,月木,24,火,毎週,金,毎週,水,,あ
東灘区,魚崎西町,4丁目,月木,13,火,毎週,金,毎週,水,,あ
東灘区,魚崎浜町,,月木,13,金,毎週,水,毎週,水,地域内に「燃えるごみ」のクリーンステーションしかない場合、「缶・びん・ペットボトル」「容器包装プラスチック」「燃えないごみ」「カセットボンベ・スプレー缶」の収集日については、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,渦森台,1丁目,火金,13,月,毎週,木,毎週,水,,あ
東灘区,渦森台,2丁目,火金,13,月,毎週,木,毎週,水,,あ
東灘区,渦森台,3丁目,火金,13,月,毎週,木,毎週,水,,あ
東灘区,渦森台,4丁目,火金,13,月,毎週,木,毎週,水,,あ
東灘区,青木,2丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,青木,3丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,青木,4丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,あ
東灘区,青木,5丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,青木,6丁目,月木,13,金,毎週,水,毎週,水,,あ
東灘区,岡本,1丁目,火金,13,木,毎週,月,毎週,水,,あ
東灘区,岡本,2丁目,火金,13,木,毎週,月,毎週,水,,あ
東灘区,岡本,3丁目,火金,13,木,毎週,月,毎週,水,,あ
東灘区,岡本,4丁目,火金,13,木,毎週,月,毎週,水,,あ
東灘区,岡本,5丁目,火金,13,木,毎週,月,毎週,水,,あ
東灘区,岡本,6丁目,火金,13,木,毎週,月,毎週,水,,あ
東灘区,岡本,7丁目,火金,13,木,毎週,月,毎週,水,,あ
東灘区,岡本,8丁目,火金,13,木,毎週,月,毎週,水,,あ
東灘区,岡本,9丁目,火金,13,木,毎週,月,毎週,水,,あ
東灘区,鴨子ケ原,1丁目,火金,24,月,毎週,木,毎週,水,,か
東灘区,鴨子ケ原,2丁目,火金,24,月,毎週,木,毎週,水,,か
東灘区,鴨子ケ原,3丁目,火金,13,月,毎週,木,毎週,水,,か
東灘区,北青木,1丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,か
東灘区,北青木,2丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,か
東灘区,北青木,3丁目,月木,13,金,毎週,水,毎週,水,,か
東灘区,北青木,4丁目,月木,13,金,毎週,水,毎週,水,,か
東灘区,甲南町,1丁目,月木,13,火,毎週,金,毎週,水,,か
東灘区,甲南町,2丁目,月木,13,火,毎週,金,毎週,水,,か
東灘区,甲南町,3丁目,月木,13,火,毎週,金,毎週,水,,か
東灘区,甲南町,4丁目,月木,13,火,毎週,金,毎週,水,,か
東灘区,甲南町,5丁目,月木,13,火,毎週,金,毎週,水,,か
東灘区,甲南台,,火金,24,木,毎週,月,毎週,水,,か
東灘区,向洋町中,1丁目,月木,24,火,毎週,水,毎週,水,,か
東灘区,向洋町中,2丁目,月木,24,火,毎週,水,毎週,水,,か
東灘区,向洋町中,3丁目,月木,24,火,毎週,水,毎週,水,,か
東灘区,向洋町中,5丁目,月木,24,火,毎週,水,毎週,水,,か
東灘区,向洋町中,6丁目,月木,24,火,毎週,水,毎週,水,,か
東灘区,向洋町中,7丁目,月木,24,火,毎週,水,毎週,水,,か
東灘区,住吉東町,1丁目,月木,13,火,毎週,金,毎週,水,,さ
東灘区,住吉東町,2丁目,月木,13,火,毎週,金,毎週,水,,さ
東灘区,住吉東町,3丁目,月木,13,火,毎週,金,毎週,水,,さ
東灘区,住吉東町,4丁目,月木,13,火,毎週,金,毎週,水,,さ
東灘区,住吉東町,5丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,さ
東灘区,住吉本町,1丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,さ
東灘区,住吉本町,2丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,さ
東灘区,住吉本町,3丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,さ
東灘区,住吉南町,1丁目,月木,24,火,毎週,金,毎週,水,,さ
東灘区,住吉南町,2丁目,月木,24,火,毎週,金,毎週,水,,さ
東灘区,住吉南町,3丁目,月木,24,火,毎週,金,毎週,水,,さ
東灘区,住吉南町,4丁目,月木,24,火,毎週,金,毎週,水,,さ
東灘区,住吉南町,5丁目,月木,24,火,毎週,金,毎週,水,,さ
東灘区,住吉宮町,1丁目,月木,13,火,毎週,金,毎週,水,,さ
東灘区,住吉宮町,2丁目,月木,13,火,毎週,金,毎週,水,,さ
東灘区,住吉宮町,3丁目,月木,13,火,毎週,金,毎週,水,,さ
東灘区,住吉宮町,4丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,さ
東灘区,住吉宮町,5丁目,月木,13,火,毎週,金,毎週,水,,さ
東灘区,住吉宮町,6丁目,月木,13,火,毎週,金,毎週,水,,さ
東灘区,住吉宮町,7丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉山手,1丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉山手,2丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉山手,3丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉山手,4丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉山手,5丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉山手,6丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉山手,7丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉山手,8丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉山手,9丁目,火金,24,月,毎週,木,毎週,水,,さ
東灘区,住吉台,,火金,24,月,毎週,木,毎週,水,,さ
東灘区,田中町,1丁目,火金,13,木,毎週,月,毎週,水,,た
東灘区,田中町,2丁目,火金,13,木,毎週,月,毎週,水,,た
東灘区,田中町,3丁目,火金,13,木,毎週,月,毎週,水,,た
東灘区,田中町,4丁目,火金,13,木,毎週,月,毎週,水,,た
東灘区,田中町,5丁目,火金,13,木,毎週,月,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,た
東灘区,西岡本,1丁目,火金,13,木,毎週,月,毎週,水,,な
東灘区,西岡本,2丁目,火金,13,木,毎週,月,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,な
東灘区,西岡本,3丁目,火金,13,木,毎週,月,毎週,水,,な
東灘区,西岡本,4丁目,火金,13,木,毎週,月,毎週,水,,な
東灘区,西岡本,5丁目,火金,13,木,毎週,月,毎週,水,,な
東灘区,西岡本,6丁目,火金,13,木,毎週,月,毎週,水,,な
東灘区,西岡本,7丁目,火金,13,木,毎週,月,毎週,水,,な
東灘区,深江北町,1丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,は
東灘区,深江北町,2丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,は
東灘区,深江北町,3丁目（阪神電鉄より南側）,月木,24,金,毎週,火,毎週,水,,は
東灘区,深江北町,3丁目（阪神電鉄より北側）,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,は
東灘区,深江北町,4丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：841-0161）へお問合せください。,は
