施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
1168,三宮駐車場,650-0001,中央区加納町6,,078-391-5513,,34.687519,135.196234,中央区,駐車場・駐輪場
1169,三宮中央通り駐車場,650-0021,中央区三宮町1,,078-333-3388,,34.690916,135.193661,中央区,駐車場・駐輪場
1170,メリケンパーク駐車場,650-0042,中央区波止場町,,078-392-7459,,34.683023,135.188256,中央区,駐車場・駐輪場
1171,中央ターミナル駐車場,650-0042,中央区波止場町,,078-351-6310,,34.683023,135.188256,中央区,駐車場・駐輪場
1172,花隈駐車場,650-0013,中央区花隈町,,078-341-5338,,34.68823,135.18061,中央区,駐車場・駐輪場
1173,大倉山駐車場,650-0017,中央区楠町4,,078-382-0823,,34.684203,135.173844,中央区,駐車場・駐輪場
1174,神戸駅南駐車場,650-0044,中央区東川崎町1,,078-360-3731,,34.680726,135.182793,中央区,駐車場・駐輪場
1175,湊川公園駐車場,652-0811,兵庫区新開地1,,078-576-0692,,34.678942,135.167922,兵庫区,駐車場・駐輪場
1176,荒田公園駐車場,652-0032,兵庫区荒田町2,,078-579-1409,,34.682083,135.166414,兵庫区,駐車場・駐輪場
1177,和田岬駅前駐車場,652-0863,兵庫区和田宮通5,,078-672-6723,,34.6564,135.174983,兵庫区,駐車場・駐輪場
1178,長田北町駐車場,653-0016,長田区北町3,,078-579-2350,,34.66539,135.151212,長田区,駐車場・駐輪場
1179,細田駐車場,653-0835,長田区細田町7,,078-641-8738,,34.659363,135.144507,長田区,駐車場・駐輪場
1180,新長田駅前駐車場,653-0038,長田区若松町4,,078-641-1161,,34.657352,135.145677,長田区,駐車場・駐輪場
1181,新長田駐車場,653-0039,長田区日吉町1,,078-641-8738,,34.656005,135.14351,長田区,駐車場・駐輪場
1182,鈴蘭台駐車場,651-1114,北区鈴蘭台西町1,,078-594-4114,,34.726462,135.145386,北区,駐車場・駐輪場
1183,舞子駅前駐車場,655-0047,垂水区東舞子町,,078-784-2073,,34.632668,135.036542,垂水区,駐車場・駐輪場
1184,魚崎浜保管所,658-0024,東灘区魚崎浜町1-5,,078-431-6540,,34.704366,135.27251,東灘区,駐車場・駐輪場
1185,稗原保管所,657-0055,灘区上河原通1-1,,078-861-0895,,34.711981,135.233113,灘区,駐車場・駐輪場
1186,三宮保管所,651-0082,中央区小野浜町3番地先（神戸商工貿易センタービル南東）,,078-251-4356,,34.686639,135.199647,中央区,駐車場・駐輪場
1187,湊町保管所,652-0812,兵庫区湊町1-35,,078-651-9898,,34.674482,135.175388,兵庫区,駐車場・駐輪場
1188,北保管所,651-1112,北区鈴蘭台東町6-1-1,,078-591-0238,,34.722082,135.15252,北区,駐車場・駐輪場
1189,岡場保管所,651-1301,北区藤原台北町1,,078-982-7766,,34.813871,135.220209,北区,駐車場・駐輪場
