№,区,緊急避難場所の利用,避難所の利用,名称,住所,電話番号,緯度,経度,郵便番号,土砂災害,洪水,津波,備考
0001,東灘,○,○,東灘小学校,神戸市東灘区深江北町2-4-1,078-411-0556,34.7248161,135.2944292,658-0013,,,×,《津波時》国道2号より山側へ避難すること
0002,東灘,○,○,本庄小学校,神戸市東灘区青木4-4-1,078-411-0339,34.7211525,135.2888714,658-0027,,,×,《津波時》国道2号より山側へ避難すること
0003,東灘,○,○,本庄中学校,神戸市東灘区青木4-4-2,078-411-2261,34.7203025,135.2875439,658-0027,,,×,《津波時》国道2号より山側へ避難すること
0004,東灘,○,○,東灘高校,神戸市東灘区深江浜町50,078-452-9600,34.7099789,135.3010486,658-0023,,,×,《津波時》国道2号より山側へ避難すること
0005,東灘,○,○,神戸大学海事科学部,神戸市東灘区深江南町5-1-1,078-431-6200,34.7187444,135.2883578,658-0022,,,×,《津波時》国道2号より山側へ避難すること
0006,東灘,○,○,魚崎小学校,神戸市東灘区魚崎中町4-10-8,078-411-6196,34.715028,135.2771222,658-0063,,,,
0007,東灘,○,○,灘中・高校,神戸市東灘区魚崎北町8-5-1,078-411-7234,34.7191636,135.2684539,658-0082,,,,
0008,東灘,○,○,本山第一小学校,神戸市東灘区本山北町3-10-1,078-411-1974,34.7289433,135.2789056,658-0003,,,,
0009,東灘,○,○,甲南女子中・高校,神戸市東灘区森北町5-6-1,078-411-2531,34.7349206,135.2917292,658-0001,,,,
0010,東灘,○,○,神戸薬科大学,神戸市東灘区本山北町4-19-1,078-453-0031,34.7331150,135.2832689,658-0003,△,,,《土砂災害時》正門が土砂災害警戒区域内にあるので注意が必要。早めに避難すること
0011,東灘,○,○,本山第二小学校,神戸市東灘区西岡本1-3-1,078-431-1441,34.7253269,135.2695758,658-0073,,,,
0012,東灘,○,○,本山中学校,神戸市東灘区岡本3-3-1,078-411-3742,34.7256325,135.2709397,658-0072,,,,
0013,東灘,○,○,甲南大学,神戸市東灘区岡本8-9-1,078-431-4341,34.729734,135.2679925,658-0072,△,,,《土砂災害時》土砂災害警戒区域外。（本山第二小学校）へ避難すること。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可
0014,東灘,○,○,本山第三小学校,神戸市東灘区本山中町1-2-35,078-411-0005,34.7280906,135.2864103,658-0016,,×,,《洪水時》河川氾濫時は早めに本山第一小学校へ避難すること
0015,東灘,○,○,住吉小学校,神戸市東灘区住吉東町4-1-31,078-851-2887,34.7175747,135.2644850,658-0052,,×,,《洪水時》河川氾濫時は友生支援学校へ避難すること
0016,東灘,○,○,友生支援学校住吉分校,神戸市東灘区住吉東町4-1-58,078-851-0630,34.7170611,135.2655489,658-0052,,,,
0017,東灘,○,○,住之江公民館,神戸市東灘区住吉宮町2-2-3,078-822-1300,34.7139751,135.2636564,658-0053,,×,,《洪水時》河川氾濫時は友生支援学校へ避難すること
0018,東灘,○,○,住之江公民館別館,神戸市東灘区住吉宮町2-1-3,078-822-1300,34.7143023,135.2646774,658-0053,,×,,《洪水時》河川氾濫時は友生支援学校へ避難すること
0019,東灘,○,○,呉田会館,神戸市東灘区住吉南町4-6-23,078-841-4060,34.7107873,135.2624866,658-0041,,,,
0020,東灘,○,○,御影小学校,神戸市東灘区御影石町3-1-1,078-851-3673,34.7148111,135.2515083,658-0045,,,,
0021,東灘,○,○,御影高校,神戸市東灘区御影石町4-1-1,078-841-1501,34.7169608,135.2505750,658-0045,,,,
0022,東灘,○,○,御影公会堂,神戸市東灘区御影石町4-4-1,078-841-2281,34.7160708,135.2492512,658-0045,,,,
0023,東灘,○,○,御影北小学校,神戸市東灘区御影山手1-12-1,078-851-6809,34.7246294,135.2488056,658-0065,,,,
0024,東灘,○,○,頌栄短期大学(ハウ記念館を含む）,神戸市東灘区御影山手1-18-1,078-842-2541,34.7274431,135.2491389,658-0065,△,,,《土砂災害時》正門が土砂災害警戒区域内にあるので注意が必要。夜間及び土日祝日は避難勧告時に開設。
0025,東灘,○,○,渦が森小学校,神戸市東灘区渦森台1-12-1,078-851-3185,34.7389833,135.2503494,658-0066,,,,
0026,東灘,○,,同朋住吉台保育園,神戸市東灘区住吉台25-7,078-846-6011,34.7386169,135.2567989,658-0062,,,,
0027,東灘,○,○,六甲アイランド小学校,神戸市東灘区向洋町中2-7,078-857-3121,34.6888558,135.2744986,658-0032,,,,
0028,東灘,○,○,向洋中学校,神戸市東灘区向洋町中2,078-857-2481,34.6899361,135.2740625,658-0032,,,,
0029,東灘,○,○,六甲アイランド高校,神戸市東灘区向洋町中4-4,078-858-4000,34.6848339,135.2714269,658-0032,,,,
