始発駅,新長田,新長田,新長田,新長田,新長田,新長田,御崎公園,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田
行先駅,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,御崎公園
新長田,5:35,5:51,6:08,6:20,6:31,6:40,,6:50,6:57,7:05,7:12,7:20,7:26,7:32,7:38,7:44,7:50,7:56,8:02,8:08,8:14,8:20,8:26,8:32,8:38,8:44,8:52,8:57,9:00,9:04,9:10,9:20,9:30,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:07,17:15,17:23,17:30,17:37,17:45,17:52,18:00,18:07,18:15,18:22,18:30,18:37,18:45,18:52,19:00,19:10,19:20,19:23,19:30,19:40,19:50,20:00,20:10,20:20,20:30,20:40,20:50,21:00,21:10,21:20,21:30,21:41,21:53,22:05,22:17,22:29,22:45,22:50,22:59,23:15,23:30,23:45,23:56
駒ヶ林,5:36,5:52,6:09,6:21,6:32,6:41,,6:51,6:58,7:06,7:14,7:21,7:27,7:33,7:39,7:45,7:51,7:57,8:03,8:09,8:15,8:21,8:27,8:33,8:39,8:45,8:53,8:58,9:01,9:05,9:11,9:21,9:31,9:41,9:51,10:01,10:11,10:21,10:31,10:41,10:51,11:01,11:11,11:21,11:31,11:41,11:51,12:01,12:11,12:21,12:31,12:41,12:51,13:01,13:11,13:21,13:31,13:41,13:51,14:01,14:11,14:21,14:31,14:41,14:51,15:01,15:11,15:21,15:31,15:41,15:51,16:01,16:11,16:21,16:31,16:41,16:51,17:01,17:08,17:16,17:24,17:31,17:38,17:46,17:53,18:01,18:08,18:16,18:23,18:31,18:38,18:46,18:53,19:01,19:11,19:21,19:24,19:31,19:41,19:51,20:01,20:11,20:21,20:31,20:41,20:51,21:01,21:11,21:21,21:31,21:42,21:54,22:06,22:18,22:30,22:46,22:51,23:00,23:16,23:32,23:47,23:57
苅藻,5:38,5:54,6:11,6:23,6:34,6:43,,6:53,7:00,7:08,7:15,7:23,7:29,7:35,7:41,7:47,7:53,7:59,8:05,8:11,8:17,8:23,8:29,8:35,8:41,8:47,8:55,9:00,9:03,9:07,9:13,9:23,9:33,9:43,9:53,10:03,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,16:53,17:03,17:10,17:18,17:26,17:33,17:40,17:48,17:55,18:03,18:10,18:18,18:25,18:33,18:40,18:48,18:55,19:03,19:13,19:23,19:26,19:33,19:43,19:53,20:03,20:13,20:23,20:33,20:43,20:53,21:03,21:13,21:23,21:33,21:44,21:56,22:08,22:20,22:32,22:48,22:53,23:02,23:18,23:33,23:48,23:59
御崎公園,5:40,5:55,6:12,6:24,6:35,6:44,6:48,6:54,7:01,7:09,7:17,7:24,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:48,8:56,9:01,9:04,9:08,9:14,9:24,9:34,9:44,9:54,10:04,10:14,10:24,10:34,10:44,10:54,11:04,11:14,11:24,11:34,11:44,11:54,12:04,12:14,12:24,12:34,12:44,12:54,13:04,13:14,13:24,13:34,13:44,13:54,14:04,14:14,14:24,14:34,14:44,14:54,15:04,15:14,15:24,15:34,15:44,15:54,16:04,16:14,16:24,16:34,16:44,16:54,17:04,17:11,17:19,17:27,17:34,17:41,17:49,17:56,18:04,18:11,18:19,18:26,18:34,18:41,18:49,18:56,19:04,19:14,19:24,19:27,19:34,19:44,19:54,20:04,20:14,20:24,20:34,20:44,20:54,21:04,21:14,21:24,21:34,21:45,21:57,22:09,22:21,22:33,22:49,22:54,23:03,23:19,23:35,23:50,0:00
和田岬,5:41,5:57,6:14,6:26,6:37,6:46,6:49,6:56,7:03,7:11,7:19,7:26,7:32,7:38,7:44,7:50,7:56,8:02,8:08,8:14,8:20,8:26,8:32,8:38,8:44,8:50,8:58,,9:06,,9:16,9:26,9:36,9:46,9:56,10:06,10:16,10:26,10:36,10:46,10:56,11:06,11:16,11:26,11:36,11:46,11:56,12:06,12:16,12:26,12:36,12:46,12:56,13:06,13:16,13:26,13:36,13:46,13:56,14:06,14:16,14:26,14:36,14:46,14:56,15:06,15:16,15:26,15:36,15:46,15:56,16:06,16:16,16:26,16:36,16:46,16:56,17:06,17:13,17:21,17:29,17:36,17:43,17:51,17:58,18:06,18:13,18:21,18:28,18:36,18:43,18:51,18:58,19:06,19:16,19:26,,19:36,19:46,19:56,20:06,20:16,20:26,20:36,20:46,20:56,21:06,21:16,21:26,21:36,21:47,21:59,22:11,22:23,22:35,22:51,,23:05,23:21,23:36,23:51,
中央市場前,5:43,5:58,6:16,6:28,6:39,6:47,6:51,6:57,7:05,7:12,7:21,7:28,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:59,,9:07,,9:17,9:27,9:37,9:47,9:57,10:07,10:17,10:27,10:37,10:47,10:57,11:07,11:17,11:27,11:37,11:47,11:57,12:07,12:17,12:27,12:37,12:47,12:57,13:07,13:17,13:27,13:37,13:47,13:57,14:07,14:17,14:27,14:37,14:47,14:57,15:07,15:17,15:27,15:37,15:47,15:57,16:07,16:17,16:27,16:37,16:47,16:57,17:08,17:15,17:23,17:31,17:38,17:45,17:53,18:00,18:08,18:15,18:23,18:30,18:38,18:45,18:53,19:00,19:07,19:17,19:27,,19:37,19:47,19:57,20:07,20:17,20:27,20:37,20:47,20:57,21:07,21:17,21:27,21:37,21:49,22:01,22:13,22:25,22:37,22:52,,23:07,23:22,23:38,23:53,
ハーバーランド,5:45,6:01,6:18,6:30,6:41,6:50,6:53,7:00,7:07,7:15,7:23,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:48,8:54,9:02,,9:10,,9:20,9:30,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:17,17:25,17:33,17:40,17:47,17:55,18:02,18:10,18:17,18:25,18:32,18:40,18:47,18:55,19:02,19:10,19:20,19:30,,19:40,19:50,20:00,20:10,20:20,20:30,20:40,20:50,21:00,21:10,21:20,21:30,21:40,21:51,22:03,22:15,22:27,22:39,22:55,,23:09,23:25,23:40,23:55,
みなと元町,5:47,6:02,6:20,6:32,6:43,6:51,6:55,7:01,7:09,7:16,7:24,7:32,7:38,7:44,7:50,7:56,8:02,8:08,8:14,8:20,8:26,8:32,8:38,8:44,8:50,8:56,9:03,,9:11,,9:21,9:31,9:41,9:51,10:01,10:11,10:21,10:31,10:41,10:51,11:01,11:11,11:21,11:31,11:41,11:51,12:01,12:11,12:21,12:31,12:41,12:51,13:01,13:11,13:21,13:31,13:41,13:51,14:01,14:11,14:21,14:31,14:41,14:51,15:01,15:11,15:21,15:31,15:41,15:51,16:01,16:11,16:21,16:31,16:41,16:51,17:01,17:11,17:19,17:27,17:34,17:41,17:49,17:56,18:04,18:11,18:19,18:26,18:34,18:41,18:49,18:56,19:04,19:11,19:21,19:31,,19:41,19:51,20:01,20:11,20:21,20:31,20:41,20:51,21:01,21:11,21:21,21:31,21:41,21:53,22:05,22:17,22:29,22:41,22:56,,23:11,23:26,23:42,23:57,
旧居留地・大丸前,5:48,6:04,6:22,6:34,6:45,6:53,6:57,7:03,7:11,7:18,7:26,7:33,7:39,7:45,7:51,7:57,8:03,8:09,8:15,8:21,8:27,8:33,8:39,8:45,8:51,8:57,9:05,,9:13,,9:23,9:33,9:43,9:53,10:03,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,16:53,17:03,17:13,17:21,17:29,17:36,17:43,17:51,17:58,18:06,18:13,18:21,18:28,18:36,18:43,18:51,18:58,19:06,19:13,19:23,19:33,,19:43,19:53,20:03,20:13,20:23,20:33,20:43,20:53,21:03,21:13,21:23,21:33,21:43,21:55,22:07,22:19,22:31,22:43,22:58,,23:13,23:28,23:44,23:59,
