品目,よみ,業種指定,排出区分,指定袋,搬入制限,搬入制限コメント,産業廃棄物,収納袋義務除外申請対象,備考1,備考1リンク,備考1リンク表示文字列,備考2,備考2リンク,備考2リンク表示文字列,更新日
インクリボンカートリッジ,いんくりぼんかーとりっじ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,メーカー・お近くの電器店等で引取りを実施している場合があります,,,,,,5/23/2017
植木鉢（プラスチック製）,うえきばち,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
カバン（合成皮革のもの）,かばん・ごうせいひかく,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
カバン（合成皮革以外のもの）,かばん・ごうせいひかくいがい,,可燃,対象,,,,,,,,,,,5/23/2017
キャップ（プラスチック製）,きゃっぷ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
くつ（合成皮革のもの）,くつ・ごうせいひかく,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
くつ（合成皮革以外のもの）,くつ・ごうせいひかくいがい,,可燃,対象,,,,,,,,,,,5/23/2017
サインペン,さいんぺん,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
座布団（合成繊維のもの）,ざぶとん・ごうせいせんい,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
座布団（合成繊維以外のもの）,ざぶとん・ごうせいせんいいがい,,可燃,対象,,,,,,,,,,,5/23/2017
CD,しーでぃー,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
CDケース,しーでぃーけーす,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
シャープペンシル（プラスチック製）,しゃーぷぺんしる,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,金属製のものは粗大(不燃)ごみです,,,,,,5/23/2017
食用油（凝固剤で固めたもの）,しょくようあぶら,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,液状のものは捨てられません,,,,,,5/23/2017
セロハンテープ,せろはんてーぷ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
洗剤容器（プラスチック製）,せんざいようき,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
DVD,でぃーぶいでぃー,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
DVDケース,でぃーぶいでぃーけーす,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
生ごみ,なまごみ,,可燃,対象,,,,,水気をよく切って出してください,,,,,,5/23/2017
灰皿（プラスチック製）,はいざら,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
発泡スチロール,はっぽうすちろーる,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ハンガー（木製）,はんがー,,可燃,対象,,,,,,,,,,,5/23/2017
ハンガー（プラスチック製）,はんがー,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
