,,,,,
,No,施設名,所在地,緯度,経度
,1,東灘第１低層配水池,東灘区西岡本4丁目17,34.726438,135.262712
,2,川井公園貯水槽,東灘区魚崎北町2丁目7,34.718024,135.273985
,3,六甲アイランド貯水槽,東灘区向洋町中2丁目,34.6902,135.275192
,4,本山南給水拠点,東灘区本山南町8丁目3,34.722768,135.281822
,5,本庄中央公園給水拠点,東灘区青木5丁目18,34.719629,135.285473
,6,住吉川給水拠点,東灘区西岡本2丁目25,34.724121,135.264173
,7,石屋川給水拠点,東灘区御影町西平野,34.720423,135.246771
,8,石屋川公園貯水槽,灘区記田町1丁目1,34.715063,135.248914
,9,篠原低層配水池,灘区篠原中町5丁目2,34.71781,135.226824
,10,灘中層配水池,灘区薬師通1丁目1,34.720133,135.22305
,11,王子公園給水拠点,灘区王子町2丁目,34.711039,135.215869
,12,六甲山町貯水槽,灘区六甲山町字北六甲（記念碑台駐車場内）,34.757214,135.230329
,13,HAT神戸水際広場貯水槽,中央区脇浜海岸通1丁目2（なぎさ公園内）,34.696695,135.213649
,14,北野中層配水池,中央区北野町1丁目4,34.704131,135.192926
,15,磯上公園貯水槽,中央区八幡通2丁目1,34.691279,135.199103
,16,ポートアイランド中公園貯水槽,中央区港島中町1丁目,34.673144,135.209137
,17,布引給水拠点,中央区熊内橋通7丁目1,34.703692,135.198362
,18,王子南給水拠点,中央区大日通1丁目1,34.706563,135.213684
,19,奥平野給水拠点,兵庫区楠谷町37-1,34.693912,135.17616
,20,奥平野調整池,兵庫区楠谷町37-1,34.694071,135.174518
,21,御崎公園貯水槽,兵庫区御崎町1丁目1,34.655206,135.169599
,22,会下山低層配水池,長田区重池町2丁目3,34.677337,135.154554
,23,海浜公園貯水槽,須磨区若宮町1丁目3,34.644438,135.131383
,24,須磨特１低区配水池,須磨区高倉台5丁目7,34.658504,135.105473
,25,東白川特２配水池,須磨区東白川台5丁目地先,34.69428,135.112277
,26,落合特１中区配水池,須磨区北落合5丁目9,34.691243,135.091748
,27,東垂水中層配水池,垂水区青山台1丁目11,34.640049,135.074402
,28,西舞子中層配水池,垂水区南多聞台1丁目6,34.65692,135.03183
,29,舞子中層配水池,垂水区舞子坂2丁目7,34.645275,135.035491
,30,西垂水第２高層配水池,垂水区学が丘3丁目4,34.656682,135.05925
,31,北神戸配水池,北区赤松台2丁目4地先,34.87432,135.17606
,32,北神戸ポンプ場,北区上津台9丁目1,34.864531,135.20402
,33,藤原ポンプ場,北区藤原台北町7丁目20,34.833453,135.217758
,34,藤原低区配水池,北区藤原台中町7丁目地先,34.81394,135.216098
,35,有野低区配水池,北区有野台8丁目4418-8,34.808126,135.230399
,36,有馬高区配水池,北区有馬町歯朶が尾1758,34.795887,135.256811
,37,唐櫃高区配水池,北区唐櫃台4丁目18,34.784748,135.216315
,38,花山台配水池,北区大池見山台14-355,34.776509,135.190021
,39,箕谷中区配水池,北区日の峰1丁目60,34.758677,135.14805
,40,下谷上高区配水池,北区筑紫が丘9丁目地先,34.744226,135.171232
,41,東小部配水池,北区鈴蘭台東町7丁目6,34.725169,135.153709
,42,西鈴蘭台配水池,北区泉台6丁目3,34.735943,135.134215
,43,ひよどり台特２高区配水池,北区ひよどり北町1丁目2,34.703372,135.119176
,44,淡河低区配水池,北区淡河町萩原字野田1244-1,34.810231,135.108308
,45,淡河高区配水池,北区淡河町神田字鏡谷8-1,34.823215,135.167397
,46,唐櫃低区配水池,北区唐櫃台3丁目29,34.787182,135.215982
,47,平田配水池,北区道場町平田字東山978-3,34.849408,135.244156
,48,淡河中区配水池,北区淡河町中山字東片木544,34.811742,135.141948
,49,栄特１中区配水池,西区桜が丘西町5丁目848-692,34.739607,135.058864
,50,押部谷特１配水池,西区月が丘6丁目20,34.763011,135.051005
,51,神出高層配水池,西区神出町田井1867,34.741974,134.981096
,52,岩岡中層配水池,西区岩岡町岩岡612-1,34.712845,134.94829
,53,学園特１配水池,西区学園東町4丁目,34.687499,135.070177
,54,西神南貯水槽,西区井吹台北町2丁目（井吹思い出広場内）,34.703074,135.030269
,55,狩場台特１高区配水池,西区狩場台1丁目,34.727325,135.031124
,56,竹の台公園貯水槽,西区竹の台3丁目18,34.711914,135.008277
,57,持子公園貯水槽,西区持子1丁目12,34.670563,134.983279
,58,福谷中層配水池,西区櫨谷町福谷字城ケ谷748-1,34.719333,135.041939
,59,池上中央公園貯水槽,西区池上2丁目21,34.670951,135.027589
,60,宮下公園貯水槽,西区宮下2丁目9,34.6908,134.977638
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
