,#(km),0~5,5~10,10~15,15~20,20~25,25~30,30~35,35~40
Runner1,Pace(min/km),5:45,5:50,5:52,5:54,6:19,6:39,7:04,6:15
,Cadence(step/min),189,189,185,185,181,183,185,183
,Stride(cm),92,91,92,92,87,82,76,87
Runner2,Pace(min/km),4:42,4:44,4:44,4:50,5:00,5:54,5:59,5:43
,Cadence(step/min),180,182,183,182,179,174,174,176
,Stride(cm),118,116,116,113,112,97,96,99
Runner3,Pace(min/km),5:02,5:18,5:17,5:44,7:45,8:37,7:31,6:27
,Cadence(step/min),166,165,168,167,158,135,152,160
,Stride(cm),120,115,113,105,82,86,88,97
Runner4,Pace(min/km),4:56,4:51,4:52,4:48,4:44,4:42,4:43,4:54
,Cadence(step/min),166,166,168,168,169,170,171,169
,Stride(cm),122,124,123,124,125,125,124,121
Runner5,Pace(min/km),7:08,6:47,6:44,7:00,7:33,9:38,9:52,9:14
,Cadence(step/min),167,168,167,173,175,157,139,141
,Stride(cm),84,88,89,83,76,66,73,77
Runner6,Pace(min/km),6:07,5:58,5:59,5:59,6:13,6:26,7:49,8:41
,Cadence(step/min),172,173,170,170,167,167,163,149
,Stride(cm),95,97,98,98,96,93,79,77
Runner7,Pace(min/km),6:17,5:52,5:57,6:24,7:10,9:37,10:28,9:06
,Cadence(step/min),184,186,188,184,182,159,139,150
,Stride(cm),87,91,89,85,77,65,69,74
Runner8,Pace(min/km),6:23,6:09,6:02,6:05,6:07,6:06,6:28,6:05
,Cadence(step/min),181,181,183,183,182,180,181,179
,Stride(cm),86,90,90,90,90,91,85,92
Runner9,Pace(min/km),5:21,5:45,5:43,6:11,7:30,9:54,11:25,10:10
,Cadence(step/min),191,193,193,189,187,178,135,134
,Stride(cm),98,90,90,85,72,57,65,74
Runner10,Pace(min/km),6:11,5:38,5:26,6:00,6:17,7:37,8:01,7:40
,Cadence(step/min),174,175,175,172,170,168,164,165
,Stride(cm),93,101,105,97,94,75,76,79
Runner11,Pace(min/km),7:15,6:17,6:26,6:35,7:01,7:40,7:50,8:07
,Cadence(step/min),182,180,180,180,180,180,180,181
,Stride(cm),76,89,87,84,79,72,71,68
Runner12,Pace(min/km),5:30,5:13,5:03,5:36,5:53,6:23,6:18,6:43
,Cadence(step/min),155,157,159,161,161,163,164,162
,Stride(cm),117,122,124,111,105,96,97,92
Runner13,Pace(min/km),5:53,5:40,5:38,6:21,6:11,8:18,7:08,8:31
,Cadence(step/min),177,177,179,184,180,179,179,177
,Stride(cm),96,99,99,85,90,67,78,66
Runner14,Pace(min/km),6:01,5:39,5:36,6:24,6:18,8:35,7:14,8:28
,Cadence(step/min),93,176,174,175,180,149,166,162
,Stride(cm),177,100,102,89,87,78,82,72
Runner15,Pace(min/km),5:32,5:16,5:05,5:38,6:06,6:35,6:32,6:47
,Cadence(step/min),152,156,157,158,151,151,154,149
,Stride(cm),118,121,124,111,108,100,101,98
Runner16,Pace(min/km),6:32,6:28,6:21,6:52,6:31,7:40,7:36,7:43
,Cadence(step/min),182,183,184,178,184,164,160,155
,Stride(cm),84,84,85,81,83,79,82,83
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
