始発駅,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,御崎公園,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田
行先駅,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,御崎公園
新長田,5:35,5:51,6:09,6:20,6:35,6:45,6:55,7:05,7:15,7:25,7:35,,7:45,7:55,8:02,8:10,8:17,8:25,8:32,8:40,8:45,8:50,9:00,9:05,9:10,9:20,9:30,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00,18:10,18:20,18:30,18:40,18:50,19:00,19:10,19:20,19:30,19:40,19:50,20:00,20:10,20:20,20:30,20:40,20:50,21:00,21:10,21:20,21:30,21:41,21:53,22:05,22:17,22:29,22:45,22:50,22:59,23:15,23:30,23:45,23:56
駒ヶ林,5:36,5:52,6:10,6:21,6:36,6:46,6:56,7:06,7:16,7:26,7:36,,7:46,7:56,8:03,8:11,8:18,8:26,8:33,8:41,8:46,8:51,9:01,9:06,9:11,9:21,9:31,9:41,9:51,10:01,10:11,10:21,10:31,10:41,10:51,11:01,11:11,11:21,11:31,11:41,11:51,12:01,12:11,12:21,12:31,12:41,12:51,13:01,13:11,13:21,13:31,13:41,13:51,14:01,14:11,14:21,14:31,14:41,14:51,15:01,15:11,15:21,15:31,15:41,15:51,16:01,16:11,16:21,16:31,16:41,16:51,17:01,17:11,17:21,17:31,17:41,17:51,18:01,18:11,18:21,18:31,18:41,18:51,19:01,19:11,19:21,19:31,19:41,19:51,20:01,20:11,20:21,20:31,20:41,20:51,21:01,21:11,21:21,21:31,21:42,21:54,22:06,22:18,22:30,22:46,22:51,23:00,23:16,23:32,23:47,23:57
苅藻,5:38,5:54,6:12,6:23,6:38,6:48,6:58,7:08,7:18,7:28,7:38,,7:48,7:58,8:05,8:13,8:20,8:28,8:35,8:43,8:48,8:53,9:03,9:08,9:13,9:23,9:33,9:43,9:53,10:03,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,16:53,17:03,17:13,17:23,17:33,17:43,17:53,18:03,18:13,18:23,18:33,18:43,18:53,19:03,19:13,19:23,19:33,19:43,19:53,20:03,20:13,20:23,20:33,20:43,20:53,21:03,21:13,21:23,21:33,21:44,21:56,22:08,22:20,22:32,22:48,22:53,23:02,23:18,23:33,23:48,23:59
御崎公園,5:40,5:55,6:13,6:24,6:39,6:49,6:59,7:09,7:19,7:29,7:39,7:45,7:49,7:59,8:06,8:14,8:21,8:29,8:36,8:44,8:49,8:54,9:04,9:09,9:14,9:24,9:34,9:44,9:54,10:04,10:14,10:24,10:34,10:44,10:54,11:04,11:14,11:24,11:34,11:44,11:54,12:04,12:14,12:24,12:34,12:44,12:54,13:04,13:14,13:24,13:34,13:44,13:54,14:04,14:14,14:24,14:34,14:44,14:54,15:04,15:14,15:24,15:34,15:44,15:54,16:04,16:14,16:24,16:34,16:44,16:54,17:04,17:14,17:24,17:34,17:44,17:54,18:04,18:14,18:24,18:34,18:44,18:54,19:04,19:14,19:24,19:34,19:44,19:54,20:04,20:14,20:24,20:34,20:44,20:54,21:04,21:14,21:24,21:34,21:45,21:57,22:09,22:21,22:33,22:49,22:54,23:03,23:19,23:35,23:50,0:00
和田岬,5:41,5:57,6:15,6:26,6:41,6:51,7:01,7:11,7:21,7:31,7:41,7:47,7:51,8:01,8:08,8:16,8:23,8:31,8:38,8:46,,8:56,9:06,,9:16,9:26,9:36,9:46,9:56,10:06,10:16,10:26,10:36,10:46,10:56,11:06,11:16,11:26,11:36,11:46,11:56,12:06,12:16,12:26,12:36,12:46,12:56,13:06,13:16,13:26,13:36,13:46,13:56,14:06,14:16,14:26,14:36,14:46,14:56,15:06,15:16,15:26,15:36,15:46,15:56,16:06,16:16,16:26,16:36,16:46,16:56,17:06,17:16,17:26,17:36,17:46,17:56,18:06,18:16,18:26,18:36,18:46,18:56,19:06,19:16,19:26,19:36,19:46,19:56,20:06,20:16,20:26,20:36,20:46,20:56,21:06,21:16,21:26,21:36,21:47,21:59,22:11,22:23,22:35,22:51,,23:05,23:21,23:36,23:51,
中央市場前,5:43,5:58,6:17,6:28,6:42,6:52,7:02,7:12,7:22,7:32,7:42,7:49,7:52,8:02,8:10,8:17,8:25,8:32,8:40,8:47,,8:57,9:07,,9:17,9:27,9:37,9:47,9:57,10:08,10:18,10:28,10:38,10:48,10:58,11:08,11:18,11:28,11:38,11:48,11:58,12:08,12:18,12:28,12:38,12:48,12:58,13:08,13:18,13:28,13:38,13:48,13:58,14:08,14:18,14:28,14:38,14:48,14:58,15:08,15:18,15:28,15:38,15:48,15:58,16:08,16:18,16:28,16:38,16:48,16:58,17:08,17:18,17:28,17:38,17:48,17:58,18:08,18:18,18:28,18:38,18:48,18:58,19:08,19:18,19:28,19:37,19:47,19:57,20:07,20:17,20:27,20:37,20:47,20:57,21:07,21:17,21:27,21:37,21:49,22:01,22:13,22:25,22:37,22:52,,23:07,23:22,23:38,23:53,
ハーバーランド,5:45,6:01,6:19,6:30,6:45,6:55,7:05,7:15,7:25,7:35,7:45,7:51,7:55,8:05,8:12,8:20,8:27,8:35,8:42,8:50,,9:00,9:10,,9:20,9:30,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00,18:10,18:20,18:30,18:40,18:50,19:00,19:10,19:20,19:30,19:40,19:50,20:00,20:10,20:20,20:30,20:40,20:50,21:00,21:10,21:20,21:30,21:40,21:51,22:03,22:15,22:27,22:39,22:55,,23:09,23:25,23:40,23:55,
みなと元町,5:47,6:02,6:21,6:32,6:46,6:56,7:06,7:16,7:26,7:36,7:46,7:52,7:56,8:06,8:14,8:21,8:29,8:36,8:44,8:51,,9:01,9:11,,9:21,9:31,9:41,9:51,10:01,10:11,10:21,10:31,10:41,10:51,11:01,11:11,11:21,11:31,11:41,11:51,12:01,12:11,12:21,12:31,12:41,12:51,13:01,13:11,13:21,13:31,13:41,13:51,14:01,14:11,14:21,14:31,14:41,14:51,15:01,15:11,15:21,15:31,15:41,15:51,16:01,16:11,16:21,16:31,16:41,16:51,17:01,17:11,17:21,17:31,17:41,17:51,18:01,18:11,18:21,18:31,18:41,18:51,19:01,19:11,19:21,19:31,19:41,19:51,20:01,20:11,20:21,20:31,20:41,20:51,21:01,21:11,21:21,21:31,21:41,21:53,22:05,22:17,22:29,22:41,22:56,,23:11,23:26,23:42,23:57,
旧居留地・大丸前,5:48,6:04,6:23,6:34,6:48,6:58,7:08,7:18,7:28,7:38,7:48,7:54,7:58,8:08,8:16,8:23,8:31,8:38,8:46,8:53,,9:03,9:13,,9:23,9:33,9:43,9:53,10:03,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,16:53,17:03,17:13,17:23,17:33,17:43,17:53,18:03,18:13,18:23,18:33,18:43,18:53,19:03,19:13,19:23,19:33,19:43,19:53,20:03,20:13,20:23,20:33,20:43,20:53,21:03,21:13,21:23,21:33,21:43,21:55,22:07,22:19,22:31,22:43,22:58,,23:13,23:28,23:44,23:59,
