check,施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
,624,東灘のぞみ幼稚園,658-0013,東灘区深江北町3-11-3,,078-411-0667,078-411-0667,34.725381,135.292685,東灘区,幼稚園
,625,魚崎幼稚園,658-0083,東灘区魚崎中町4-10-39,,078-411-9647,078-411-9647,34.714898,135.270073,東灘区,幼稚園
,626,遊喜幼稚園,658-0053,東灘区住吉宮町1-8-8,,078-851-8512,078-851-8512,34.713012,135.263577,東灘区,幼稚園
delta=0.0083,627,住吉幼稚園,658-0053,東灘区住吉宮町7-2-6,,078-851-6650,078-851-6650,34.71561,135.251191,東灘区,幼稚園
,628,御影幼稚園,658-0045,東灘区御影石町3-13-1,,078-851-2030,,34.715667,135.251512,東灘区,幼稚園
,629,灘すずかけ幼稚園,657-0043,灘区大石東町6-2-2,,078-861-4550,078-861-4550,34.707167,135.233745,灘区,幼稚園
,630,六甲山幼稚園,657-0101,灘区六甲山町北六甲4512-42,,078-891-1043,078-891-1043,34.757349,135.232501,灘区,幼稚園
,631,あづま幼稚園,651-0076,中央区吾妻通4-1-6,,078-231-0015,078-231-0015,34.698008,135.204778,中央区,幼稚園
,632,神戸幼稚園,650-0012,中央区北長狭通4-9-17,,078-331-4469,078-331-4469,34.690766,135.18579,中央区,幼稚園
,633,清風幼稚園,650-0004,中央区中山手通7-25-24,,078-341-1317,078-341-1317,34.688811,135.174355,中央区,幼稚園
,634,港島幼稚園,650-0046,中央区港島中町3-2-10,,078-302-3300,078-302-3300,34.669216,135.214152,中央区,幼稚園
,635,有野幼稚園,651-1313,北区有野中町1-7-8,,078-981-5109,078-981-5109,34.819743,135.222245,北区,幼稚園
,636,からと幼稚園,651-1332,北区唐櫃台2-38-10,,078-981-5317,078-981-5317,34.790494,135.214913,北区,幼稚園
,637,みどりのまち幼稚園,651-1221,北区緑町4-7-21,,078-581-1778,078-581-1778,34.75305,135.150364,北区,幼稚園
,638,やまびこ幼稚園,651-1204,北区花山東町3-2,,078-583-1080,,34.765313,135.187227,北区,幼稚園
,639,山田幼稚園,651-1253,北区山田町中字長尾サ18,,078-581-0321,078-581-0321,34.765909,135.13167,北区,幼稚園
,640,すずかぜ幼稚園,651-1111,北区鈴蘭台北町3-26-1,,078-592-4104,078-592-4104,34.730056,135.148264,北区,幼稚園
,642,道場幼稚園,651-1502,北区道場町塩田1460,,078-985-2674,,34.870468,135.232807,北区,幼稚園
,643,八多幼稚園,651-1343,北区八多町附物383-1,,078-982-0547,,34.822251,135.196509,北区,幼稚園
,644,大沢幼稚園,651-1524,北区大沢町中大沢976,,078-954-0332,078-954-0332,34.854763,135.165205,北区,幼稚園
,645,長尾幼稚園,651-1511,北区長尾町宅原130,,078-986-4123,078-986-4123,34.872799,135.20402,北区,幼稚園
,647,淡河好徳幼稚園,651-1615,北区淡河町萩原1087,,078-959-0112,078-959-0112,34.816854,135.102692,北区,幼稚園
,648,西野幼稚園,653-0802,長田区重池町1-10-8,,078-691-4483,,34.675734,135.154681,長田区,幼稚園
,650,名谷きぼうの丘幼稚園,654-0152,須磨区東落合2-18-1,,078-793-1866,,34.685716,135.101044,須磨区,幼稚園
,651,名谷こすもす幼稚園,654-0155,須磨区西落合7-1-2,,078-792-5577,,34.681604,135.090287,須磨区,幼稚園
,652,名谷あおぞら幼稚園,654-0143,須磨区菅の台4-3-1,,078-791-0133,078-791-0133,34.671036,135.083874,須磨区,幼稚園
,653,青山台こばと幼稚園,655-0873,垂水区青山台4-8-30,,078-752-0700,078-752-0700,34.64252,135.071912,垂水区,幼稚園
,654,多聞ひまわり幼稚園,655-0004,垂水区学が丘4-6-1,,078-783-5866,078-783-5866,34.659201,135.055952,垂水区,幼稚園
,655,たるみ幼稚園,655-0016,垂水区高丸6-3-1,,078-704-5114,078-704-5114,34.638315,135.055752,垂水区,幼稚園
,656,たもん幼稚園,655-0007,垂水区多聞台3-9-12,,078-781-2081,078-781-2081,34.662037,135.039939,垂水区,幼稚園
,657,奥の池幼稚園,655-0049,垂水区狩口台3-1-5,,078-781-3501,,34.648777,135.02934,垂水区,幼稚園
,658,小束山幼稚園,655-0002,垂水区小束山7-868-735,,078-784-2660,078-784-2660,34.666578,135.059943,垂水区,幼稚園
,659,太山寺幼稚園,651-2108,西区伊川谷町前開860,,078-974-0021,,34.696326,135.054856,西区,幼稚園
,660,いかわ幼稚園,651-2115,西区伊川谷町別府1342,,078-974-0022,078-974-0022,34.675715,135.01969,西区,幼稚園
,661,櫨谷幼稚園,651-2234,西区櫨谷町池谷字山の谷203-2,,078-991-0331,,34.709775,135.025084,西区,幼稚園
,662,木津幼稚園,651-2222,西区押部谷町木津71-5,,078-994-3811,078-994-3811,34.748277,135.071851,西区,幼稚園
,663,おしんべ幼稚園,651-2202,西区押部谷町西盛字垣内174,,078-994-0279,078-994-0279,34.754503,135.036297,西区,幼稚園
delta=0.0020,664,たまつ幼稚園,651-2137,西区玉津町出合字古瀬183-5,,078-928-4724,078-928-4724,34.67437,134.983167,西区,幼稚園
delta=0.0078,665,玉津第二幼稚園,651-2125,西区玉津町新方字南方452-3,,078-912-5771,,34.661101,134.989791,西区,幼稚園
delta=0.0042,666,平野幼稚園,651-2265,西区平野町宮前字広畑275-1,,078-961-2011,078-961-2011,34.705266,134.980625,西区,幼稚園
delta=0.0025,667,神出幼稚園,651-2313,西区神出町田井字田井前425-2,,078-965-0088,,34.74732,134.986999,西区,幼稚園
,668,岩岡幼稚園,651-2404,西区岩岡町古郷294,,078-967-1531,,34.717516,134.943007,西区,幼稚園
,669,兵庫くすのき幼稚園,652-0816,兵庫区永沢町3-7-12,,078-575-4774,078-575-4774,34.674046,135.171075,兵庫区,幼稚園
