施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
2599,星和台公園,651-1121,北区星和台2-18,,,,34.718308,135.127716,北区,公園
2600,福田が辻公園,651-1221,北区緑町8-6,,,,34.75198,135.152575,北区,公園
2601,鴨谷公園,651-1211,北区小倉台5-6,,,,34.749657,135.168234,北区,公園
2602,鼓ケ滝公園,651-1401,北区有馬町,,,,34.789629,135.245326,北区,公園
2603,泉台公園,651-1141,北区泉台1-14,,,,34.741621,135.143225,北区,公園
2604,箕谷城跡公園,651-1232,北区松が枝町3,,,,34.762451,135.150579,北区,公園
2605,鈴蘭台東町公園,651-1112,北区鈴蘭台東町7-13,,,,34.724807,135.155901,北区,公園
2606,君影緑地,651-1122,北区君影町5-15,,,,34.718295,135.141358,北区,公園
2607,新鈴蘭台公園,651-1122,北区君影町4-11,,,,34.716584,135.141631,北区,公園
2608,足谷東公園,651-1305,北区西山1-14,,,,34.837275,135.218723,北区,公園
2609,星和台緑地,651-1121,北区星和台1,,,,34.718511,135.132083,北区,公園
2610,二郎片山公園,651-1306,北区菖蒲が丘3,,,,34.841651,135.225579,北区,公園
2611,大山公園（北）,651-1141,北区泉台4-10,,,,34.741824,135.139657,北区,公園
2612,君影北緑地,651-1122,北区君影町6-5,,,,34.719875,135.141682,北区,公園
2613,端宝寺町公園,651-1401,北区有馬町字,,,,34.795673,135.255378,北区,公園
2614,生野公園,651-1503,北区道場町生野字,,,,34.863239,135.247643,北区,公園
2615,広陵公園,651-1213,北区広陵町2,,,,34.749079,135.159613,北区,公園
2616,中里中公園,651-1103,北区中里町1,,,,34.715962,135.156212,北区,公園
2617,こややま公園,651-1202,北区花山中尾台3-8,,,,34.769749,135.194256,北区,公園
2618,日の峰南公園,651-1233,北区日の峰2,,,,34.756297,135.145767,北区,公園
2619,京地中公園,651-1304,北区京地2-21,,,,34.835462,135.212999,北区,公園
2620,杉尾台公園,651-1146,北区杉尾台2,,,,34.736781,135.139534,北区,公園
2621,籠谷公園,651-1305,北区西山2-16,,,,34.840088,135.222473,北区,公園
2622,桂木南公園,651-1223,北区桂木3,,,,34.748072,135.142596,北区,公園
2623,北夏堀公園,651-1141,北区泉台6-6,,,,34.736182,135.133048,北区,公園
2624,東大池公園,651-1333,北区東大池2-3,,,,34.780659,135.199916,北区,公園
2625,ひこはち公園,651-1202,北区花山中尾台2,,,,34.766455,135.194624,北区,公園
2626,ひよどり台東公園,651-1123,北区ひよどり台4,,,,34.697431,135.127485,北区,公園
2627,鳴子公園,651-1133,北区鳴子3-1,,,,34.724675,135.12718,北区,公園
2628,吉原公園,651-1304,北区京地4,,,,34.83565,135.21116,北区,公園
2629,若葉台公園,651-1143,北区若葉台2-12,,,,34.741507,135.156384,北区,公園
2630,下切公園,651-1121,北区星和台2-50,,,,34.716304,135.130699,北区,公園
2631,道場西公園,651-1505,北区道場町日下部663,,,,34.863143,135.228792,北区,公園
2632,北山公園,651-1142,北区甲栄台2,,,,34.741886,135.150064,北区,公園
2633,中里南公園,651-1103,北区中里町2-24,,,,34.713065,135.153964,北区,公園
2634,日の峰北公園,651-1233,北区日の峰4,,,,34.762083,135.144911,北区,公園
2635,幸陽台北公園,651-1203,北区幸陽町2-2,,,,34.767865,135.190249,北区,公園
2636,北鈴蘭台東公園,651-1145,北区惣山町5-12,,,,34.73675,135.156831,北区,公園
2637,唐櫃台南公園,651-1332,北区唐櫃台3-29,,,,34.787656,135.215971,北区,公園
2638,上畑公園,651-1121,北区星和台7,,,,34.724781,135.122255,北区,公園
2639,白坂公園,651-1321,北区有野台4-8,,,,34.817115,135.227891,北区,公園
2640,唐谷公園,651-1132,北区南五葉4-3,,,,34.719375,135.136567,北区,公園
2641,北鈴蘭台南公園,651-1145,北区惣山町4-20,,,,34.733512,135.155901,北区,公園
2642,峠谷公園,651-1141,北区泉台3,,,,34.739175,135.139765,北区,公園
2643,東有野台南公園,651-1322,北区東有野台1-26,,,,34.808113,135.233207,北区,公園
2644,崎が谷南公園,651-1131,北区北五葉2,,,,34.727567,135.132222,北区,公園
2645,渡り谷公園,651-1202,北区花山中尾台3,,,,34.768784,135.197437,北区,公園
2646,東有野台北公園,651-1322,北区東有野台2-7,,,,34.810302,135.233594,北区,公園
2647,ひよどり台南公園,651-1123,北区ひよどり台1-7,,,,34.695482,135.122856,北区,公園
2648,小谷公園,651-1334,北区唐櫃六甲台,,,,34.782761,135.20837,北区,公園
2649,東ヶ辻公園,651-1321,北区有野台7-20,,,,34.808628,135.228937,北区,公園
2650,須磨浦公園,654-0068,須磨区西須磨,,,,34.642194,135.097976,須磨区,公園
2651,(須磨)離宮公園,654-0018,須磨区東須磨1,,,,34.653465,135.116333,須磨区,公園
2652,神戸総合運動公園,651-2102,須磨区緑台,,,,34.681755,135.075922,西区,公園
2653,須磨寺公園,654-0068,須磨区西須磨1,,,,34.649917,135.108147,須磨区,公園
2654,名谷団地周辺緑地,654-0162,須磨区神の谷6,,,,34.675067,135.083401,須磨区,公園
2655,奥須磨公園,654-0133,須磨区多井畑小松ケ内,,,,34.662502,135.098941,須磨区,公園
2656,海浜公園,654-0055,須磨区須磨浦通1,,,,34.64352,135.127018,須磨区,公園
2657,落合中央公園,654-0154,須磨区中落合3,,,,34.683381,135.095055,須磨区,公園
2658,土池公園,654-0143,須磨区菅の台6,,,,34.666517,135.082462,須磨区,公園
2659,市の子公園,654-0161,須磨区弥栄台2,,,,34.684199,135.076797,須磨区,公園
2660,シティヒル東緑地,658-0032,東灘区向洋町中1,,,,34.692492,135.275023,東灘区,公園
2661,シティヒル西緑地,658-0032,東灘区向洋町中6,,,,34.690013,135.262953,東灘区,公園
2662,六甲アイランド公園東,658-0032,東灘区向洋町中1,,,,34.693515,135.270946,東灘区,公園
2663,六甲アイランド公園西,658-0032,東灘区向洋町中5,,,,34.692862,135.266504,東灘区,公園
2664,瀬戸公園,658-0025,東灘区魚崎南町1-2-1,,,,34.712308,135.280017,東灘区,公園
2665,石屋川公園,658-0047,東灘区御影町西平野,,,,34.716268,135.248651,東灘区,公園
2666,住吉公園,658-0053,東灘区住吉宮町3-3,,,,34.715927,135.262223,東灘区,公園
2667,向洋西公園,658-0032,東灘区向洋町中町6,,,,34.687693,135.266134,東灘区,公園
2668,向洋東公園,658-0032,東灘区向洋町中2,,,,34.688442,135.27263,東灘区,公園
2669,住吉台公園,658-0062,東灘区住吉台,,,,34.733413,135.258447,東灘区,公園
2670,本庄中央公園,658-0027,東灘区青木4-3,,,,34.719595,135.285934,東灘区,公園
2671,住吉川公園,658-0026,東灘区魚崎西町1,,,,34.709815,135.268704,東灘区,公園
2672,小寄公園,658-0015,東灘区本山南町4,,,,34.721624,135.280409,東灘区,公園
2673,川井公園,658-0082,東灘区魚崎北町2-7,,,,34.717505,135.273918,東灘区,公園
