番号,施設名,公共・民間／建物・交通,地域,設置場所,所在地,電話番号,緯度,経度,備考
1,神戸市役所1号館,公共建物,三宮,1階,中央区加納町6‐5‐1,078-331-8181,34.6894,135.195739,
4,北野工房のまち（旧北野小学校跡）,公共建物,北野,1階,中央区中山手通3-17-1,078-221-6868（北野工房のまち 管理事務所）,34.695568,135.187148,
5,デュオこうべ　浜の手（地下街）,公共建物,ハーバーランド,地下街　女子トイレ前,中央区東川崎町1-2-3,078-351-6000,,,
7,アスタくにづか　3番館,公共建物,長田,2階,長田区久保町5-1-1,078-646-3005,34.653645,135.14713,
8,神戸高速 高速神戸駅,公共交通,神戸,改札内,中央区,078-575-5061,34.679363,135.174434,
9,ポートライナー　三宮駅,公共交通,三宮,改札内,中央区雲井通8丁目,078-251-2115 (三宮駅の番号）,34.694551,135.195238,
10,有馬の工房,公共建物,有馬,1階,北区有馬町1019,078-903-5554,34.796186,135.248246,
11,キャンパススクエア　本館,公共建物,西,本館1階,西区学園西町1-4  （地下鉄学園都市駅北）,078-793-6600,34.682826,135.057592,
12,高倉会館,公共建物,須磨,,須磨区高倉台4丁目2-4,078-734-1664 ,34.656913,135.103882,
13,さんちか(地下街）,公共建物,三宮,地下街,中央区三宮町1-10-1,078-391-4025,34.693265,135.193879,
15,北野トイレプラザ（北野観光案内所内）,公共建物,北野,Ｂ1階,中央区北野町3-10-20,078-251-8360,34.701375,135.189848,
17,煉瓦倉庫レストラン,公共建物,ハーバーランド,1階,中央区東川崎町1丁目5-5,078-360-3911,34.677647,135.183337,
19,市営地下鉄　西神・山手線　新神戸駅,公共交通,北野,改札内,中央区,078-791-6043 ,34.704828,135.195726,
20,市営地下鉄　西神・山手線　三宮駅(東口）,公共交通,三宮,改札内,中央区,078-791-6043 ,34.693874,135.192312,
20,市営地下鉄　西神・山手線　三宮駅（西口）,公共交通,三宮,改札内,,078-791-6043 ,34.693874,135.192312,
21,市営地下鉄　西神・山手線　県庁前駅,公共交通,元町,改札内,中央区,078-791-6043 ,34.690983,135.183908,
22,ポートライナー　みなとじま駅,公共交通,ポートアイランド,改札内,中央区港島中町4丁目,078-251-2115 (三宮駅の番号）,34.66907,135.209997,
23,灘区役所,公共建物,灘,1・６階,灘区桜口町4-2-1,078-843-7001,34.71236,135.23957,
24,しあわせの村 本館・宿泊館,公共建物,北,1・2階,北区山田町下谷上字中一里山14-1,078-743-8002 ,34.708721,135.115559,
26,神戸ファッションマート,公共建物,六甲アイランド,1階,東灘区向洋町中6丁目9,078-857-8011,34.689218,135.268168,
