number,name,zipcode,area,location,lat,lng,category,note
1,神戸大学 保健管理センター深江分室,658-0022,東灘区,神戸市東灘区深江南町5-1-1,34.719177,135.289308,学校・園・児童館,対応不可
2,神戸新交通(株) 住吉駅,658-0051,東灘区,神戸市東灘区住吉本町1-2,34.719504,135.262343,公共交通機関,対応不可
3,生活協同組合コープこうべ シーア店,658-0051,東灘区,神戸市東灘区住吉本町1-2-1,34.720035,135.262529,商業施設,対応不可
4,生活協同組合コープこうべ 本部,658-0051,東灘区,神戸市東灘区住吉本町1-3-19,34.720082,135.260883,会社・事業所,対応不可
5,生活協同組合コープこうべ 生活文化センター,658-0081,東灘区,神戸市東灘区田中町5丁目3-20,34.721199,135.267181,体育施設・スポーツクラブ,対応不可
6,コナミスポーツクラブ 本山南,658-0014,東灘区,神戸市東灘区北青木2-10-5,34.720976,135.284062,体育施設・スポーツクラブ,対応不可
7,たかぎ歯科医院,658-0081,東灘区,神戸市東灘区田中町1-11-19,34.725901,135.276882,医療関連施設,対応不可
8,東急スポーツオアシス住吉,658-0051,東灘区,神戸市東灘区住吉本町1-1-2住吉NKビル3F,34.720148,135.263439,体育施設・スポーツクラブ,対応不可
9,東灘区民センター,658-0052,東灘区,神戸市東灘区住吉東町5丁目1-16,34.719203,135.263192,集会場・ホール,対応不可
10,東灘区役所,658-0052,東灘区,神戸市東灘区住吉東町5丁目2-1,34.72012,135.265547,官公庁,24時間利用可
11,神戸市立 東灘図書館,658-0052,東灘区,神戸市東灘区住吉東町2丁目3-40,34.719444,135.266443,公園・文教施設,対応不可
12,神戸市立 東灘体育館,658-0025,東灘区,神戸市東灘区魚崎南町6丁目5-11,34.714821,135.278127,体育施設・スポーツクラブ,対応不可
13,神戸市立 魚崎中学校,658-0025,東灘区,神戸市東灘区魚崎南町1-2-1,34.713565,135.279923,学校・園・児童館,対応不可
14,神戸市立 渦が森小学校,658-0066,東灘区,神戸市東灘区渦森台1-12-1,34.738766,135.250876,学校・園・児童館,対応不可
15,神戸市立 住吉中学校,658-0063,東灘区,神戸市東灘区住吉山手1-11-1,34.725595,135.259048,学校・園・児童館,対応不可
16,神戸市立 福池小学校,658-0015,東灘区,神戸市東灘区本山南町4-4-28,34.721342,135.279532,学校・園・児童館,対応不可
17,神戸市立 本庄中学校,658-0027,東灘区,神戸市東灘区青木4-4-2,34.720049,135.287978,学校・園・児童館,対応不可
18,神戸市立 御影中学校,658-0054,東灘区,神戸市東灘区御影中町5-1-1,34.715768,135.253816,学校・園・児童館,対応不可
19,神戸市立 本山第二小学校,658-0073,東灘区,神戸市東灘区西岡本1-3-1,34.724985,135.270147,学校・園・児童館,対応不可
20,神戸市立 本山中学校,658-0072,東灘区,神戸市東灘区岡本3-3-1,34.725279,135.271352,学校・園・児童館,対応不可
21,神戸市立 本山南中学校,658-0081,東灘区,神戸市東灘区田中町4-12-1,34.723213,135.271277,学校・園・児童館,対応不可
22,神戸市立 友生支援学校住吉分校,658-0052,東灘区,神戸市東灘区住吉東町4-1-58,34.717191,135.265659,学校・園・児童館,対応不可
