arrival_time,departure_time,stop_id,stop_sequence,trip_id
05:35:00,05:35:00,K10,0,新長田_h_5_35_east
05:36:00,05:36:00,K09,1,新長田_h_5_35_east
05:38:00,05:38:00,K08,2,新長田_h_5_35_east
05:40:00,05:40:00,K07,3,新長田_h_5_35_east
05:41:00,05:41:00,K06,4,新長田_h_5_35_east
05:43:00,05:43:00,K05,5,新長田_h_5_35_east
05:45:00,05:45:00,K04,6,新長田_h_5_35_east
05:47:00,05:47:00,K03,7,新長田_h_5_35_east
05:48:00,05:48:00,K02,8,新長田_h_5_35_east
05:50:00,05:50:00,K01,9,新長田_h_5_35_east
05:51:00,05:51:00,K10,0,新長田_h_5_51_east
05:52:00,05:52:00,K09,1,新長田_h_5_51_east
05:54:00,05:54:00,K08,2,新長田_h_5_51_east
05:55:00,05:55:00,K07,3,新長田_h_5_51_east
05:57:00,05:57:00,K06,4,新長田_h_5_51_east
05:58:00,05:58:00,K05,5,新長田_h_5_51_east
06:01:00,06:01:00,K04,6,新長田_h_5_51_east
06:02:00,06:02:00,K03,7,新長田_h_5_51_east
06:04:00,06:04:00,K02,8,新長田_h_5_51_east
06:05:00,06:05:00,K01,9,新長田_h_5_51_east
06:09:00,06:09:00,K10,0,新長田_h_6_09_east
06:10:00,06:10:00,K09,1,新長田_h_6_09_east
06:12:00,06:12:00,K08,2,新長田_h_6_09_east
06:13:00,06:13:00,K07,3,新長田_h_6_09_east
06:15:00,06:15:00,K06,4,新長田_h_6_09_east
06:17:00,06:17:00,K05,5,新長田_h_6_09_east
06:19:00,06:19:00,K04,6,新長田_h_6_09_east
06:21:00,06:21:00,K03,7,新長田_h_6_09_east
06:23:00,06:23:00,K02,8,新長田_h_6_09_east
06:24:00,06:24:00,K01,9,新長田_h_6_09_east
06:20:00,06:20:00,K10,0,新長田_h_6_20_east
06:21:00,06:21:00,K09,1,新長田_h_6_20_east
06:23:00,06:23:00,K08,2,新長田_h_6_20_east
06:24:00,06:24:00,K07,3,新長田_h_6_20_east
06:26:00,06:26:00,K06,4,新長田_h_6_20_east
06:28:00,06:28:00,K05,5,新長田_h_6_20_east
06:30:00,06:30:00,K04,6,新長田_h_6_20_east
06:32:00,06:32:00,K03,7,新長田_h_6_20_east
06:34:00,06:34:00,K02,8,新長田_h_6_20_east
06:35:00,06:35:00,K01,9,新長田_h_6_20_east
06:35:00,06:35:00,K10,0,新長田_h_6_35_east
06:36:00,06:36:00,K09,1,新長田_h_6_35_east
06:38:00,06:38:00,K08,2,新長田_h_6_35_east
06:39:00,06:39:00,K07,3,新長田_h_6_35_east
06:41:00,06:41:00,K06,4,新長田_h_6_35_east
06:42:00,06:42:00,K05,5,新長田_h_6_35_east
06:45:00,06:45:00,K04,6,新長田_h_6_35_east
06:46:00,06:46:00,K03,7,新長田_h_6_35_east
06:48:00,06:48:00,K02,8,新長田_h_6_35_east
06:49:00,06:49:00,K01,9,新長田_h_6_35_east
06:45:00,06:45:00,K10,0,新長田_h_6_45_east
06:46:00,06:46:00,K09,1,新長田_h_6_45_east
06:48:00,06:48:00,K08,2,新長田_h_6_45_east
06:49:00,06:49:00,K07,3,新長田_h_6_45_east
06:51:00,06:51:00,K06,4,新長田_h_6_45_east
06:52:00,06:52:00,K05,5,新長田_h_6_45_east
06:55:00,06:55:00,K04,6,新長田_h_6_45_east
06:56:00,06:56:00,K03,7,新長田_h_6_45_east
06:58:00,06:58:00,K02,8,新長田_h_6_45_east
06:59:00,06:59:00,K01,9,新長田_h_6_45_east
06:55:00,06:55:00,K10,0,新長田_h_6_55_east
06:56:00,06:56:00,K09,1,新長田_h_6_55_east
06:58:00,06:58:00,K08,2,新長田_h_6_55_east
06:59:00,06:59:00,K07,3,新長田_h_6_55_east
07:01:00,07:01:00,K06,4,新長田_h_6_55_east
07:02:00,07:02:00,K05,5,新長田_h_6_55_east
07:05:00,07:05:00,K04,6,新長田_h_6_55_east
07:06:00,07:06:00,K03,7,新長田_h_6_55_east
07:08:00,07:08:00,K02,8,新長田_h_6_55_east
07:09:00,07:09:00,K01,9,新長田_h_6_55_east
07:05:00,07:05:00,K10,0,新長田_h_7_05_east
07:06:00,07:06:00,K09,1,新長田_h_7_05_east
07:08:00,07:08:00,K08,2,新長田_h_7_05_east
07:09:00,07:09:00,K07,3,新長田_h_7_05_east
07:11:00,07:11:00,K06,4,新長田_h_7_05_east
07:12:00,07:12:00,K05,5,新長田_h_7_05_east
07:15:00,07:15:00,K04,6,新長田_h_7_05_east
07:16:00,07:16:00,K03,7,新長田_h_7_05_east
07:18:00,07:18:00,K02,8,新長田_h_7_05_east
07:19:00,07:19:00,K01,9,新長田_h_7_05_east
07:15:00,07:15:00,K10,0,新長田_h_7_15_east
07:16:00,07:16:00,K09,1,新長田_h_7_15_east
07:18:00,07:18:00,K08,2,新長田_h_7_15_east
